Query_Name,Database_ID,Target_ID,Target_Name,Gene_Name,UniProt_ID,Query_Percentage,Target_Percentage,Polypharmacology_Type,Ligand_Name,Organism,original_target_smile,query_frag_smile,Query_SMILES
mol_0,CHEMBL3962191,ChEMBL_T_1897,Survival motor neuron protein,CHEMBL1293232,Q16637,37.14,65.0,Type 4,CHEMBL3962191 : ,Homo sapiens,COc1cc(-c2cc3ccccc3c(=O)o2)ccc1O,*c1ccc(O)c(OC)c1,CCN1CCN(CC1)C2=CC3=C(C=C2)C(=NN3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=C(C=C6)O)OC
mol_0,CHEMBL4081914,ChEMBL_T_2245,Protein farnesyltransferase,CHEMBL2094108,P49356,54.29,95.0,Type 4,CHEMBL4081914 : ,Homo sapiens,COc1cc(-c2nc3ccccc3c(=O)[nH]2)ccc1O,*c1ccc(O)c(OC)c1,CCN1CCN(CC1)C2=CC3=C(C=C2)C(=NN3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=C(C=C6)O)OC
mol_0,CHEMBL4636455,ChEMBL_T_2550,Polycomb protein EED,CHEMBL2189117,O75530,40.0,82.35,Type 4,CHEMBL4636455 : ,Homo sapiens,CCN1CCN(c2ccc([N+](=O)[O-])cc2)CC1,*N1CCN(CC)CC1,CCN1CCN(CC1)C2=CC3=C(C=C2)C(=NN3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=C(C=C6)O)OC
mol_0,CHEMBL4243606,ChEMBL_T_2586,Ubiquitin-like modifier-activating enzyme ATG7,CHEMBL2321621,O95352,31.43,64.71,Type 4,CHEMBL4243606 : ,Homo sapiens,CCN1CCN(C(=O)Nc2ccccc2)CC1,*N1CCN(CC)CC1,CCN1CCN(CC1)C2=CC3=C(C=C2)C(=NN3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=C(C=C6)O)OC
mol_0,CHEMBL2442414,ChEMBL_T_2463,CDK9/cyclin T1,CHEMBL2111389,P50750,37.14,61.9,Type 4,CHEMBL2442414 : ,Homo sapiens,COc1cc(-c2cc(=O)c3cc(C)ccc3o2)ccc1O,*c1ccc(O)c(OC)c1,CCN1CCN(CC1)C2=CC3=C(C=C2)C(=NN3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=C(C=C6)O)OC
mol_0,CHEMBL4174364,ChEMBL_T_3118,Tyrosyl-DNA phosphodiesterase 1,Unknown,Unknown,42.86,71.43,Type 4,CHEMBL4174364 : ,Homo sapiens,COc1cc(-c2cc(-c3ccc(Cl)cc3)n[nH]2)ccc1O,*c1ccc(O)c(OC)c1,CCN1CCN(CC1)C2=CC3=C(C=C2)C(=NN3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=C(C=C6)O)OC
mol_0,CHEMBL424829,ChEMBL_T_2289,Tubulin,CHEMBL2095182,Q9BUF5,37.14,61.9,Type 4,CHEMBL424829 : ,Homo sapiens,COc1cc(-c2cc(=O)c3cc(O)ccc3o2)ccc1O,*c1ccc(O)c(OC)c1,CCN1CCN(CC1)C2=CC3=C(C=C2)C(=NN3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=C(C=C6)O)OC
mol_0,CHEMBL1277324,ChEMBL_T_3117,Alpha-synuclein,Unknown,Unknown,37.14,59.09,Type 4,CHEMBL1277324 : PEONIDIN,Homo sapiens,COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2O)ccc1O,*c1ccc(O)c(OC)c1,CCN1CCN(CC1)C2=CC3=C(C=C2)C(=NN3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=C(C=C6)O)OC
mol_0,CHEMBL3894434,ChEMBL_T_2445,Dopamine D1 and D2 receptor,CHEMBL2111341,P21728,54.29,79.17,Type 4,CHEMBL3894434 : ,Homo sapiens,COc1cc(-c2cc(N[C@@H](C)c3ccccc3)ncn2)ccc1O,*c1ccc(O)c(OC)c1,CCN1CCN(CC1)C2=CC3=C(C=C2)C(=NN3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=C(C=C6)O)OC
mol_0,CHEMBL4564318,ChEMBL_T_2632,TAR DNA-binding protein 43,CHEMBL2362981,Q13148,42.86,62.5,Type 4,CHEMBL4564318 : ,Homo sapiens,CCS(=O)(=O)Nc1cc(-c2ccc(O)c(OC)c2)cc2[nH]ncc12,*c1ccc(O)c(OC)c1,CCN1CCN(CC1)C2=CC3=C(C=C2)C(=NN3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=C(C=C6)O)OC
