cell_line_raw,cell_line,depmap_id,lineage,primary_disease,subtype,rrid,mapping_status,candidates,descriptive_entry,has_expression
22RV1,22Rv1,ACH-000956,Prostate,Prostate Adenocarcinoma,Prostate Adenocarcinoma,CVCL_1045,mapped,1,,1
22Rv1,22Rv1,ACH-000956,Prostate,Prostate Adenocarcinoma,Prostate Adenocarcinoma,CVCL_1045,mapped,1,,1
231MFP,231MFP,,,,,,unmapped,0,False,0
293T,293T,,,,,,unmapped,0,False,0
A-204,A-204,ACH-000201,Kidney,Rhabdoid Cancer,Rhabdoid Cancer,CVCL_1058,mapped,1,,1
A152T neurons,A152T neurons,,,,,,unmapped,0,True,0
A375,A-375,ACH-000219,Skin,Melanoma,Melanoma,CVCL_0132,mapped,1,,1
A431,A-431,ACH-001328,Skin,Cutaneous Squamous Cell Carcinoma,Cutaneous Squamous Cell Carcinoma,CVCL_0037,mapped,1,,1
A549,A549,ACH-000681,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,CVCL_0023,mapped,1,,1
AML cells,AML cells,,,,,,unmapped,0,True,0
AsPC-1,AsPC-1,ACH-000222,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,CVCL_0152,mapped,1,,1
BT474,BT-474,ACH-000927,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,CVCL_0179,mapped,1,,1
Ba/F3,Ba/F3,,,,,,unmapped,0,False,0
BaF3 FLT3-ITD,BaF3 FLT3-ITD,,,,,,unmapped,0,False,0
Bel-7402,Bel-7402,,,,,,unmapped,0,False,0
Big sellection of cacer cell lines,Big sellection of cacer cell lines,,,,,,unmapped,0,True,0
CA-46,CA46,ACH-000440,Lymphoid,Mature B-Cell Neoplasms,Burkitt Lymphoma,CVCL_1101,mapped,1,,1
CAL-12T,CAL-12T,ACH-000826,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,CVCL_1105,mapped,1,,1
CCLP1,CC-LP-1,ACH-001959,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Intrahepatic Cholangiocarcinoma,CVCL_0205,mapped,1,,1
COLO 205,COLO 205,ACH-001039,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,CVCL_0218,mapped,1,,0
COLO-205,COLO 205,ACH-001039,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,CVCL_0218,mapped,1,,0
Calu-1,Calu-1,ACH-000511,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,CVCL_0608,mapped,1,,1
Capan-1,Capan-1,ACH-000354,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,CVCL_0237,mapped,1,,1
DB,DB,ACH-000334,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",CVCL_1168,mapped,1,,1
DOHH2,DOHH-2,ACH-000056,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",CVCL_1179,mapped,1,,1
EOL-1,EOL-1,ACH-000198,Myeloid,Myeloproliferative Neoplasms,"Chronic Eosinophilic Leukemia, NOS",CVCL_0258,mapped,1,,1
ER-positive breast cancer cell lines,ER-positive breast cancer cell lines,,,,,,unmapped,0,True,0
GFP-KRASG12C reporter cell line in Flp-In 293,GFP-KRASG12C reporter cell line in Flp-In 293,,,,,,unmapped,0,True,0
H1666,NCI-H1666,ACH-000448,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,CVCL_1485,mapped,1,,1
H1975,NCI-H1975,ACH-000587,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,CVCL_1511,mapped,1,,1
H23,NCI-H23,ACH-000900,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,CVCL_1547,mapped,1,,1
H3122,NCI-H3122,ACH-000337,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,CVCL_5160,mapped,1,,1
H3255,NCI-H3255,ACH-000109,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,CVCL_6831,mapped,1,,1
H358,NCI-H358,ACH-000860,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,CVCL_1559,mapped,1,,1
H661,NCI-H661,ACH-000853,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,CVCL_1577,mapped,1,,1
HAP1,HAP1,ACH-002475,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",CVCL_Y019,mapped,1,,1
HBL-1,HBL-1,,,,,,unmapped,0,False,0
HCC-827,HCC-827,ACH-000012,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,CVCL_2063,mapped,1,,1
HCC1937,HCC1937,ACH-000223,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,CVCL_0290,mapped,1,,1
HCC827,HCC-827,ACH-000012,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,CVCL_2063,mapped,1,,1
HCT-116,HCT 116,ACH-000971,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,CVCL_0291,mapped,1,,1
HCT116,HCT 116,ACH-000971,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,CVCL_0291,mapped,1,,1
HD-MB03,HD-MB03,,,,,,unmapped,0,False,0
HEI-OC1,HEI-OC1,,,,,,unmapped,0,False,0
HEK293,HEK293,,,,,,unmapped,0,False,0
HEK293-hTau,HEK293-hTau,,,,,,unmapped,0,False,0
HEK293A,HEK293A,,,,,,unmapped,0,False,0
HEK293T,HEK293T,,,,,,unmapped,0,False,0
HEL,HEL,ACH-000004,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,CVCL_0001,mapped,1,,1
HLE,HLE,ACH-001089,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,CVCL_1281,mapped,1,,0
HLF,HLF,ACH-000393,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,CVCL_2947,mapped,1,,1
HT-29,HT-29,ACH-000552,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,CVCL_0320,mapped,1,,1
