Rank,Tier,Target,E3 ligase,Warhead name,Warhead SMILES,Warhead source,E3 ligand name,E3 ligand SMILES,Linker SMILES,Linker class,Full PROTAC SMILES,Assembly strategy,Reaction class,Validity status,MW,TPSA,logP,HBD,HBA,Rotatable bonds,Predicted DC50 nM,Predicted Dmax %,Degradation confidence,Applicability domain,hERG risk,AMES risk,DILI risk,Solubility risk,Novelty score,Nearest known PROTAC similarity,Ternary feasibility score,Synthetic feasibility score,Final priority score,Warning flags,Reason for ranking
1,Tier 1,BRD4,CRBN,BRD4_demo_JQ1_like,COc1cc([*:1])cc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1,local_demo_jq1_like_warhead,CRBN_demo_lenalidomide_like,NC(=O)c1ccc2C(=O)N([*:1])C(=O)c2c1,[*:1]CCOCC[*:2],PEG,COc1cccc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1CCOCCNC(=O)c1ccc2C(=O)NC(=O)c2c1,curated_template,amide_or_ether_coupling,unverified_no_rdkit,603.2,150.0,-0.41,0,10,12,31.93,80.7,0.776,0.781,low,low,low,low,0.627,0.373,0.0,0.745,0.734,rdkit_unavailable_unverified_smiles;install_rdkit_for_chemical_validation;rdkit_not_installed,"DC50 score 0.71, Dmax score 0.81, ADME score 0.95, novelty 0.63, synthetic 0.74."
2,Tier 1,BRD4,CRBN,BRD4_demo_triazolobenzodiazepine_like,Cc1cc([*:1])nc(NC(=O)c2ccccc2)c1,local_demo_bromodomain_warhead,CRBN_demo_lenalidomide_like,NC(=O)c1ccc2C(=O)N([*:1])C(=O)c2c1,[*:1]CCOCC[*:2],PEG,Cc1ccnc(NC(=O)c2ccccc2)c1CCOCCNC(=O)c1ccc2C(=O)NC(=O)c2c1,curated_template,amide_or_ether_coupling,unverified_no_rdkit,471.29,133.0,-0.74,0,9,6,31.93,80.7,0.722,0.6,low,low,low,low,0.595,0.405,0.0,0.725,0.734,rdkit_unavailable_unverified_smiles;install_rdkit_for_chemical_validation;rdkit_not_installed,"DC50 score 0.71, Dmax score 0.81, ADME score 0.98, novelty 0.59, synthetic 0.72."
3,Tier 1,BRD4,CRBN,BRD4_demo_triazolobenzodiazepine_like,Cc1cc([*:1])nc(NC(=O)c2ccccc2)c1,local_demo_bromodomain_warhead,CRBN_demo_lenalidomide_like,NC(=O)c1ccc2C(=O)N([*:1])C(=O)c2c1,[*:1]CCOCCOCC[*:2],PEG,Cc1ccnc(NC(=O)c2ccccc2)c1CCOCCOCCNC(=O)c1ccc2C(=O)NC(=O)c2c1,curated_template,amide_or_ether_coupling,unverified_no_rdkit,514.11,150.0,-0.85,0,10,9,31.93,80.7,0.749,0.689,low,low,low,low,0.595,0.405,0.0,0.707,0.733,rdkit_unavailable_unverified_smiles;install_rdkit_for_chemical_validation;rdkit_not_installed,"DC50 score 0.71, Dmax score 0.81, ADME score 0.98, novelty 0.59, synthetic 0.71."
4,Tier 1,BRD4,CRBN,BRD4_demo_JQ1_like,COc1cc([*:1])cc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1,local_demo_jq1_like_warhead,CRBN_demo_lenalidomide_like,NC(=O)c1ccc2C(=O)N([*:1])C(=O)c2c1,[*:1]CCOCCOCC[*:2],PEG,COc1cccc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1CCOCCOCCNC(=O)c1ccc2C(=O)NC(=O)c2c1,curated_template,amide_or_ether_coupling,unverified_no_rdkit,646.02,167.0,-0.52,0,11,15,31.93,80.7,0.789,0.824,low,low,low,low,0.627,0.373,0.0,0.727,0.73,rdkit_unavailable_unverified_smiles;install_rdkit_for_chemical_validation;rdkit_not_installed,"DC50 score 0.71, Dmax score 0.81, ADME score 0.93, novelty 0.63, synthetic 0.73."
5,Tier 1,BRD4,CRBN,BRD4_demo_triazolobenzodiazepine_like,Cc1cc([*:1])nc(NC(=O)c2ccccc2)c1,local_demo_bromodomain_warhead,CRBN_demo_lenalidomide_like,NC(=O)c1ccc2C(=O)N([*:1])C(=O)c2c1,[*:1]CCOCCOCCOCC[*:2],PEG,Cc1ccnc(NC(=O)c2ccccc2)c1CCOCCOCCOCCNC(=O)c1ccc2C(=O)NC(=O)c2c1,curated_template,amide_or_ether_coupling,unverified_no_rdkit,556.93,167.0,-0.96,0,11,12,31.93,80.7,0.769,0.758,low,low,low,low,0.595,0.405,0.0,0.68,0.729,rdkit_unavailable_unverified_smiles;install_rdkit_for_chemical_validation;rdkit_not_installed,"DC50 score 0.71, Dmax score 0.81, ADME score 0.96, novelty 0.59, synthetic 0.68."
6,Tier 1,BRD4,CRBN,BRD4_demo_triazolobenzodiazepine_like,Cc1cc([*:1])nc(NC(=O)c2ccccc2)c1,local_demo_bromodomain_warhead,CRBN_demo_avado_like,CC(C)N1C(=O)c2ccc([*:1])cc2C1=O,[*:1]CCOCC[*:2],PEG,Cc1ccnc(NC(=O)c2ccccc2)c1CCOCCCC(C)N1C(=O)c2ccccc2C1=O,curated_template,amide_or_ether_coupling,unverified_no_rdkit,468.1,104.0,-0.31,0,7,7,31.93,80.7,0.713,0.568,low,low,low,low,0.551,0.449,0.0,0.709,0.729,rdkit_unavailable_unverified_smiles;install_rdkit_for_chemical_validation;rdkit_not_installed,"DC50 score 0.71, Dmax score 0.81, ADME score 0.98, novelty 0.55, synthetic 0.71."
7,Tier 1,BRD4,CRBN,BRD4_demo_triazolobenzodiazepine_like,Cc1cc([*:1])nc(NC(=O)c2ccccc2)c1,local_demo_bromodomain_warhead,CRBN_demo_avado_like,CC(C)N1C(=O)c2ccc([*:1])cc2C1=O,[*:1]CCOCCOCC[*:2],PEG,Cc1ccnc(NC(=O)c2ccccc2)c1CCOCCOCCCC(C)N1C(=O)c2ccccc2C1=O,curated_template,amide_or_ether_coupling,unverified_no_rdkit,510.92,121.0,-0.42,0,8,10,31.93,80.7,0.739,0.658,low,low,low,low,0.551,0.449,0.0,0.691,0.727,rdkit_unavailable_unverified_smiles;install_rdkit_for_chemical_validation;rdkit_not_installed,"DC50 score 0.71, Dmax score 0.81, ADME score 0.98, novelty 0.55, synthetic 0.69."
8,Tier 1,BRD4,CRBN,BRD4_demo_triazolobenzodiazepine_like,Cc1cc([*:1])nc(NC(=O)c2ccccc2)c1,local_demo_bromodomain_warhead,CRBN_demo_lenalidomide_like,NC(=O)c1ccc2C(=O)N([*:1])C(=O)c2c1,[*:1]CCn1nncc1CC[*:2],triazole,Cc1ccnc(NC(=O)c2ccccc2)c1CCn1nncc1CCNC(=O)c1ccc2C(=O)NC(=O)c2c1,curated_template,amide_or_ether_coupling,unverified_no_rdkit,510.73,152.0,-1.07,0,11,1,36.16,79.1,0.718,0.586,low,low,low,low,0.654,0.346,0.0,0.648,0.727,rdkit_unavailable_unverified_smiles;install_rdkit_for_chemical_validation;rdkit_not_installed,"DC50 score 0.70, Dmax score 0.79, ADME score 0.98, novelty 0.65, synthetic 0.65."
9,Tier 1,BRD4,CRBN,BRD4_demo_JQ1_like,COc1cc([*:1])cc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1,local_demo_jq1_like_warhead,CRBN_demo_lenalidomide_like,NC(=O)c1ccc2C(=O)N([*:1])C(=O)c2c1,[*:1]CCn1nncc1CC[*:2],triazole,COc1cccc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1CCn1nncc1CCNC(=O)c1ccc2C(=O)NC(=O)c2c1,curated_template,amide_or_ether_coupling,unverified_no_rdkit,642.64,169.0,-0.74,0,12,7,36.16,79.1,0.764,0.741,low,low,low,low,0.65,0.35,0.0,0.668,0.725,rdkit_unavailable_unverified_smiles;install_rdkit_for_chemical_validation;rdkit_not_installed,"DC50 score 0.70, Dmax score 0.79, ADME score 0.96, novelty 0.65, synthetic 0.67."
10,Tier 1,BRD4,CRBN,BRD4_demo_JQ1_like,COc1cc([*:1])cc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1,local_demo_jq1_like_warhead,CRBN_demo_pomalidomide_like,O=C1NC(=O)c2ccc([*:1])cc21,[*:1]CCN1CCN(CC1)CC[*:2],piperazine,COc1cccc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1CCN1CCN(CC1)CCO=C1NC(=O)c2ccccc21,curated_template,amide_or_ether_coupling,unverified_no_rdkit,625.44,128.0,-0.13,0,9,9,33.28,80.2,0.759,0.724,low,low,low,low,0.558,0.442,0.0,0.707,0.723,rdkit_unavailable_unverified_smiles;install_rdkit_for_chemical_validation;rdkit_not_installed,"DC50 score 0.71, Dmax score 0.80, ADME score 0.96, novelty 0.56, synthetic 0.71."
