name,e3_ligase,smiles,ligand_class,source,exit_vector_confidence,stereochemistry_valid,source_confidence,diversity_score,known_degrader_usage,article_doi,uniprot,activity_nM,attachment_point
CRBN_demo_pomalidomide_like,CRBN,O=C1NC(=O)c2ccc([*:1])cc21,glutarimide_phthalimide_like,local_demo_e3_ligand,0.88,true,0.76,0.42,common_CRBN_PROTAC_handle,,,,
CRBN_demo_lenalidomide_like,CRBN,NC(=O)c1ccc2C(=O)N([*:1])C(=O)c2c1,imide_like,local_demo_e3_ligand,0.78,true,0.68,0.55,common_CRBN_PROTAC_handle,,,,
CRBN_demo_avado_like,CRBN,CC(C)N1C(=O)c2ccc([*:1])cc2C1=O,imide_like,local_demo_e3_ligand,0.70,true,0.60,0.68,exploratory_CRBN_handle,,,,
VHL_demo_hydroxyproline_like,VHL,CC(C)[C@H](NC(=O)c1ccc([*:1])cc1)C(=O)N1CCC[C@H]1O,hydroxyproline_like,local_demo_e3_ligand,0.86,true,0.75,0.44,common_VHL_PROTAC_handle,,,,
VHL_demo_vh032_like,VHL,CC(C)c1ccc(C(=O)N[C@@H](C(=O)N2CCC[C@H]2O)C(C)C)cc1[*:1],VH032_like,local_demo_e3_ligand,0.74,true,0.68,0.56,common_VHL_PROTAC_handle,,,,
IAP_demo_bestatin_like,IAP,COc1ccc(C(=O)NCC[*:1])cc1,bestatin_like,local_demo_e3_ligand,0.58,true,0.50,0.65,exploratory_IAP_handle,,,,
MDM2_demo_nutlin_like,MDM2,Clc1ccc(C(=O)NCC[*:1])cc1Cl,nutlin_like,local_demo_e3_ligand,0.52,true,0.46,0.62,exploratory_MDM2_handle,,,,
cIAP1_ligand_0,cIAP1,CN[C@@H](C)C(=O)N[C@H](C(=O)N1Cc2ccccc2C[C@H]1C(=O)N[C@@H]1CCCc2ccccc21)C(C)(C)C,literature_e3_ligand,e3_ligand.csv (DOI 10.1016/j.bmcl.2014.09.022),0.75,true,0.7,0.5,,10.1016/j.bmcl.2014.09.022,Q13490,13,approximate (construction appends [*:1])
pomalidomide,CRBN,Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,literature_e3_ligand,e3_ligand.csv (DOI 10.1038/nature13527),0.75,true,0.7,0.5,,10.1038/nature13527,Q96SW2,157,approximate (construction appends [*:1])
Thalidomide,CRBN,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,literature_e3_ligand,e3_ligand.csv (DOI 10.1038/nature13527),0.75,true,0.7,0.5,,10.1038/nature13527,Q96SW2,250,approximate (construction appends [*:1])
lenalidomide,CRBN,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,literature_e3_ligand,e3_ligand.csv (DOI 10.1038/nature13527),0.75,true,0.7,0.5,,10.1038/nature13527,Q96SW2,178,approximate (construction appends [*:1])
VHL_ligand_4,VHL,CC(=O)N[C@H](C(=O)N1C[C@H](O)[C@@H](F)[C@H]1C(=O)NCc1ccc(-c2scnc2C)cc1)C(C)(C)C,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/jacs.8b05807),0.75,true,0.7,0.5,,10.1021/jacs.8b05807,P40337,3080,approximate (construction appends [*:1])
TD-106,CRBN,Nc1cccc2nnn(C3CCC(=O)NC3=O)c(=O)c12,literature_e3_ligand,e3_ligand.csv (DOI 10.1016/j.ejmech.2019.01.023),0.75,true,0.7,0.5,,10.1016/j.ejmech.2019.01.023,Q96SW2,,approximate (construction appends [*:1])
VHL_ligand_6,VHL,CC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(-c2scnc2C)cc1)C(C)(C)C,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/jm5011258),0.75,true,0.7,0.5,,10.1021/jm5011258,P40337,291,approximate (construction appends [*:1])
DCAF15_ligand_7,DCAF15,NS(=O)(=O)c1ccc(S(=O)(=O)Nc2cccc3c(Cl)c[nH]c23)cc1,literature_e3_ligand,e3_ligand.csv (DOI 10.1126/science.aal3755),0.75,true,0.7,0.5,,10.1126/science.aal3755,Q66K64,,approximate (construction appends [*:1])
Nutlin-3,MDM2,COc1ccc(C2=NC(c3ccc(Cl)cc3)C(c3ccc(Cl)cc3)N2C(=O)N2CCNC(=O)C2)c(OC(C)C)c1,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/jm8002813),0.75,true,0.7,0.5,,10.1021/jm8002813,Q00987,700,approximate (construction appends [*:1])
