protac_smiles_canonical,smiles_parsable,protac_name,target,target_uniprot,e3,e3_gene,e3_uniprot,cell_line_raw,cell_line_id_source,dc50_nM,pdc50,has_dc50,dmax_pct,has_dmax,derived_active,derived_active_defined,label_is_derived,doi,source_db,assay_text,treatment_time_h,comments,cell_line,depmap_id,lineage,mapping_status,has_expression
C=CC(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N5CCN(C(=O)CCCCCCCCCCC(=O)Nc6cccc7c6C(=O)N(C6CCC(=O)NC6=O)C7=O)CC5)cc4OC)nc32)c1,True,56,,P00533,CRBN,CRBN,Q96SW2,H1975,H1975/WR,,,0,,0,,0,1,10.1016/j.ejmech.2020.112199,PROTAC-Pedia,,16.0,"Ligand IC50 is 0.26 nM (Kd), 4.0 nM (kinase activity)",NCI-H1975,ACH-000587,Lung,mapped,1.0
C=CC(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N5CCN(C(=O)CCCCCCCCCCCNC(=O)[C@H](CC(C)C)NC(=O)[C@@H](O)[C@H](N)Cc6ccccc6)CC5)cc4OC)nc32)c1,True,57,,P00533,IAP,"BIRC2,BIRC3",P98170,H1975,H1975/WR,,,0,,0,,0,1,10.1016/j.ejmech.2020.112199,PROTAC-Pedia,,16.0,"Ligand IC50 is 0.26 nM (Kd), 4.0 nM (kinase activity)",NCI-H1975,ACH-000587,Lung,mapped,1.0
C=CC(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N5CCN(C(=O)CCCCCCCCCCCNC(=O)c6ccc(NC(=O)[C@@H]7N[C@@H](CC(C)(C)C)[C@](C#N)(c8ccc(Cl)cc8F)[C@H]7c7cccc(Cl)c7F)c(OC)c6)CC5)cc4OC)nc32)c1,True,58,,P00533,MDM2,MDM2,Q00987,H1975,H1975/WR,264.0,6.578396073130169,1,,0,,0,1,10.1016/j.ejmech.2020.112199,PROTAC-Pedia,,16.0,"Ligand IC50 is 0.26 nM (Kd), 4.0 nM (kinase activity)",NCI-H1975,ACH-000587,Lung,mapped,1.0
C=CC(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N5CCN(CCCCCCCCCCCCNC(=O)c6ccc(NC(=O)[C@@H]7N[C@@H](CC(C)(C)C)[C@](C#N)(c8ccc(Cl)cc8F)[C@H]7c7cccc(Cl)c7F)c(OC)c6)CC5)cc4OC)nc32)c1,True,59,,P00533,MDM2,MDM2,Q00987,H1975,H1975/WR,,,0,,0,,0,1,10.1016/j.ejmech.2020.112199,PROTAC-Pedia,,16.0,"Ligand IC50 is 0.26 nM (Kd), 4.0 nM (kinase activity)",NCI-H1975,ACH-000587,Lung,mapped,1.0
C=CC(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N5CCN(C(=O)CCCCCCCCCCC(=O)N[C@H](C(=O)N6C[C@H](O)C[C@H]6C(=O)NCc6ccc(-c7scnc7C)cc6)C(C)(C)C)CC5)cc4OC)nc32)c1,True,60,,P00533,VHL,VHL,P40337,H1975,H1975/WR,313.0,6.504455662453552,1,,0,,0,1,10.1016/j.ejmech.2020.112199,PROTAC-Pedia,,16.0,"Ligand IC50 is 0.26 nM (Kd), 4.0 nM (kinase activity)",NCI-H1975,ACH-000587,Lung,mapped,1.0
C=CC(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N5CCN(CCCCCCCCCCCC(=O)N[C@H](C(=O)N6C[C@H](O)C[C@H]6C(=O)NCc6ccc(-c7scnc7C)cc6)C(C)(C)C)CC5)cc4OC)nc32)c1,True,61,,P00533,VHL,VHL,P40337,H1975,H1975/WR,25.3,7.5968794788241825,1,90.0,1,1.0,1,1,10.1016/j.ejmech.2020.112199,PROTAC-Pedia,,16.0,"Ligand IC50 is 0.26 nM (Kd), 4.0 nM (kinase activity)",NCI-H1975,ACH-000587,Lung,mapped,1.0
C=CC(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N5CCN(C(=O)CCCCCCCCCNC(=O)c6ccc(NC(=O)[C@@H]7N[C@@H](CC(C)(C)C)[C@](C#N)(c8ccc(Cl)cc8F)[C@H]7c7cccc(Cl)c7F)c(OC)c6)CC5)cc4OC)nc32)c1,True,62,,P00533,MDM2,MDM2,Q00987,H1975,H1975/WR,77.0,7.113509274827518,1,,0,,0,1,10.1016/j.ejmech.2020.112199,PROTAC-Pedia,,16.0,"Ligand IC50 is 0.26 nM (Kd), 4.0 nM (kinase activity)",NCI-H1975,ACH-000587,Lung,mapped,1.0
C=CC(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N5CCN(C(=O)CCCCCCCNC(=O)c6ccc(NC(=O)[C@@H]7N[C@@H](CC(C)(C)C)[C@](C#N)(c8ccc(Cl)cc8F)[C@H]7c7cccc(Cl)c7F)c(OC)c6)CC5)cc4OC)nc32)c1,True,63,,P00533,MDM2,MDM2,Q00987,H1975,H1975/WR,,,0,,0,,0,1,10.1016/j.ejmech.2020.112199,PROTAC-Pedia,,16.0,"Ligand IC50 is 0.26 nM (Kd), 4.0 nM (kinase activity)",NCI-H1975,ACH-000587,Lung,mapped,1.0
C=CC(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N5CCN(C(=O)CCCCCNC(=O)c6ccc(NC(=O)[C@@H]7N[C@@H](CC(C)(C)C)[C@](C#N)(c8ccc(Cl)cc8F)[C@H]7c7cccc(Cl)c7F)c(OC)c6)CC5)cc4OC)nc32)c1,True,64,,P00533,MDM2,MDM2,Q00987,H1975,H1975/WR,,,0,,0,,0,1,10.1016/j.ejmech.2020.112199,PROTAC-Pedia,,16.0,"Ligand IC50 is 0.26 nM (Kd), 4.0 nM (kinase activity)",NCI-H1975,ACH-000587,Lung,mapped,1.0
C=CC(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N5CCN(C(=O)CCCCCCCCC(=O)N[C@H](C(=O)N6C[C@H](O)C[C@H]6C(=O)NCc6ccc(-c7scnc7C)cc6)C(C)(C)C)CC5)cc4OC)nc32)c1,True,65,,P00533,VHL,VHL,P40337,H1975,H1975/WR,69.0,7.161150909262744,1,,0,,0,1,10.1016/j.ejmech.2020.112199,PROTAC-Pedia,,16.0,"Ligand IC50 is 0.26 nM (Kd), 4.0 nM (kinase activity)",NCI-H1975,ACH-000587,Lung,mapped,1.0
