gene,uniprot,locations,ok,err
ABL1,P00519,"Cytoplasm, cytoskeleton|Nucleus|Mitochondrion|Nucleus membrane",True,
ADRM1,Q16186,Cytoplasm|Nucleus,True,
ALK,Q9UM73,Cell membrane,True,
AR,P10275,Nucleus|Cytoplasm,True,
AURKA,O14965,"Cytoplasm, cytoskeleton, microtubule organizing center, centrosome|Cytoplasm, cytoskeleton, spindle pole|Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole|Cell projection, neuron projection|Cell projection, cilium|Cytoplasm, cytoskeleton, cilium basal body|Basolateral cell membrane",True,
BCL2L1,Q07817,"Mitochondrion inner membrane|Mitochondrion outer membrane|Mitochondrion matrix|Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane|Cytoplasm, cytosol|Cytoplasm, cytoskeleton, microtubule organizing center, centrosome|Nucleus membrane",True,
BIRC2,Q13490,Cytoplasm|Nucleus,True,
BIRC3,Q13489,Cytoplasm|Nucleus,True,
BIRC4,P98170,Cytoplasm|Nucleus,True,
BRAF,P15056,Nucleus|Cytoplasm|Cell membrane,True,
BRD2,P25440,Nucleus|Chromosome,True,
BRD3,Q15059,Nucleus|Chromosome,True,
BRD4,O60885,Nucleus|Chromosome,True,
BSG,P35613,"Melanosome|Cell membrane|Photoreceptor inner segment|Cell projection, cilium, photoreceptor outer segment|Endosome|Endoplasmic reticulum membrane|Basolateral cell membrane",True,
BTK,Q06187,Cytoplasm|Cell membrane|Nucleus|Membrane raft,True,
CDC20,Q12834,"Cytoplasm, cytoskeleton, microtubule organizing center, centrosome|Chromosome, centromere, kinetochore|Cytoplasm, cytoskeleton, spindle pole",True,
CDK2,P24941,"Cytoplasm, cytoskeleton, microtubule organizing center, centrosome|Nucleus, Cajal body|Cytoplasm|Endosome",True,
CDK4,P11802,Cytoplasm|Nucleus|Nucleus membrane,True,
CDK6,Q00534,"Cytoplasm|Nucleus|Cell projection, ruffle|Cytoplasm, cytoskeleton, microtubule organizing center, centrosome",True,
CDK9,P50750,"Nucleus|Cytoplasm|Nucleus, PML body",True,
CRBN,Q96SW2,Cytoplasm|Nucleus|Membrane,True,
CUL2,Q13617,Nucleus,True,
CUL3,Q13618,"Nucleus|Golgi apparatus|Cell projection, cilium, flagellum|Cytoplasm, cytoskeleton, spindle|Cytoplasm|Cytoplasm, cytoskeleton, microtubule organizing center, centrosome|Cytoplasm, cytoskeleton, spindle pole",True,
CUL4A,Q13619,,True,
CUL4B,Q13620,Cytoplasm|Nucleus,True,
DCAF1,Q9Y4B6,"Cytoplasm|Nucleus|Cytoplasm, cytoskeleton, microtubule organizing center, centrosome",True,
DCAF11,Q8TEB1,,True,
DCAF15,Q66K64,,True,
DCAF16,Q9NXF7,Nucleus,True,
DDB1,Q16531,Cytoplasm|Nucleus,True,
EGFR,P00533,Cell membrane|Endoplasmic reticulum membrane|Golgi apparatus membrane|Nucleus membrane|Endosome|Endosome membrane|Nucleus|Secreted,True,
ESR1,P03372,Nucleus|Cytoplasm|Cell membrane|Golgi apparatus,True,
EZH2,Q15910,Nucleus,True,
FBXO22,Q8NEZ5,"Cytoplasm|Nucleus|Cytoplasm, myofibril, sarcomere, Z line",True,
FEM1B,Q9UK73,Cytoplasm|Nucleus,True,
FGFR1,P11362,"Cell membrane|Nucleus|Cytoplasm, cytosol|Cytoplasmic vesicle",True,
FLT3,P36888,Membrane|Endoplasmic reticulum lumen,True,
HDAC1,Q13547,Nucleus,True,
HDAC6,Q9UBN7,"Cytoplasm|Cytoplasm, cytoskeleton|Nucleus|Perikaryon|Cell projection, dendrite|Cell projection, axon|Cell projection, cilium|Cytoplasm, cytoskeleton, microtubule organizing center, centrosome|Cytoplasm, cytoskeleton, cilium basal body",True,
HMGCR,P04035,Endoplasmic reticulum membrane|Peroxisome membrane,True,
HPGDS,O60760,Cytoplasm,True,
HSP90AA1,P07900,Nucleus|Cytoplasm|Melanosome|Cell membrane|Mitochondrion,True,
HUWE1,Q7Z6Z7,Cytoplasm|Nucleus|Mitochondrion,True,
IRAK1,P51617,Cytoplasm|Nucleus|Lipid droplet,True,
IRAK4,Q9NWZ3,Cytoplasm,True,
JAK2,O60674,Endomembrane system|Cytoplasm|Nucleus,True,
KEAP1,Q14145,Cytoplasm|Nucleus,True,
KLHDC2,Q9Y2U9,Nucleus,True,
KLHL20,Q9Y2M5,"Cytoplasm, perinuclear region|Golgi apparatus, trans-Golgi network|Cell projection, axon|Cell projection, dendrite",True,
KRAS,P01116,Cell membrane|Endomembrane system|Cytoplasm,True,
MAP2K1,Q02750,"Cytoplasm, cytoskeleton, microtubule organizing center, centrosome|Cytoplasm, cytoskeleton, microtubule organizing center, spindle pole body|Cytoplasm|Nucleus|Membrane",True,
MCL1,Q07820,"Membrane|Cytoplasm|Mitochondrion|Nucleus, nucleoplasm",True,
MDM2,Q00987,"Nucleus, nucleoplasm|Cytoplasm|Nucleus, nucleolus|Nucleus",True,
NEDD4,P46934,Cytoplasm|Nucleus|Cell membrane,True,
NEDD4L,Q96PU5,"Cytoplasm|Golgi apparatus|Endosome, multivesicular body",True,
PARP1,P09874,"Chromosome|Nucleus|Nucleus, nucleolus|Cytoplasm, cytosol|Cytoplasm",True,
PARP2,Q9UGN5,Nucleus|Chromosome,True,
PRKN,O60260,"Cytoplasm, cytosol|Nucleus|Endoplasmic reticulum|Mitochondrion|Mitochondrion outer membrane|Cell projection, neuron projection|Postsynaptic density|Presynapse",True,
PSMB5,P28074,Cytoplasm|Nucleus,True,
PTK2,Q05397,"Cell junction, focal adhesion|Cell membrane|Cytoplasm, perinuclear region|Cytoplasm, cell cortex|Cytoplasm, cytoskeleton|Cytoplasm, cytoskeleton, microtubule organizing center, centrosome|Nucleus|Cytoplasm, cytoskeleton, cilium basal body|Cytoplasm",True,
PTPN11,Q06124,Cytoplasm|Nucleus,True,
RBX1,P62877,Cytoplasm|Nucleus,True,
RIPK2,O43353,Cytoplasm|Cell membrane|Endoplasmic reticulum,True,
RNF114,Q9Y508,Cytoplasm|Nucleus,True,
RNF168,Q8IYW5,Nucleus,True,
RNF4,P78317,"Cytoplasm|Nucleus|Nucleus, PML body",True,
RNF7,Q9UBF6,Cytoplasm|Nucleus,True,
RNF8,O76064,"Nucleus|Cytoplasm|Midbody|Chromosome, telomere",True,
SIAH1,Q8IUQ4,Cytoplasm|Nucleus,True,
SMARCA2,P51531,Nucleus,True,
STAT3,P40763,Cytoplasm|Nucleus,True,
STUB1,Q9UNE7,Cytoplasm|Nucleus|Mitochondrion,True,
TRIM21,P19474,"Cytoplasm|Cytoplasmic vesicle, autophagosome|Nucleus|Cytoplasm, P-body|Cytoplasm, Stress granule",True,
TTK,P33981,,True,
UBE3A,Q05086,Cytoplasm|Nucleus,True,
UBR1,Q8IWV7,"Cytoplasm, cytosol",True,
VHL,P40337,Cytoplasm|Cell membrane|Endoplasmic reticulum|Nucleus,True,
WWP1,Q9H0M0,Cytoplasm|Cell membrane|Nucleus|Cell junction,True,
