Warhead,Linker,Len(Å),E3,Ligand,Sufficient
Hoechst 33258,PEG6,16.8,CRBN,Pomalidomide,True
Hoechst 33258,PEG6,16.8,CRBN,Lenalidomide,True
Hoechst 33258,PEG8,22.4,CRBN,Pomalidomide,True
Hoechst 33258,PEG8,22.4,CRBN,Lenalidomide,True
Hoechst 33258,C12-alkyl,12.6,CRBN,Pomalidomide,False
Hoechst 33258,C12-alkyl,12.6,CRBN,Lenalidomide,False
Hoechst 33258,C6-PEG4,15.0,CRBN,Pomalidomide,True
Hoechst 33258,C6-PEG4,15.0,CRBN,Lenalidomide,True
Hoechst 33258,C8-PEG4,17.2,CRBN,Pomalidomide,True
Hoechst 33258,C8-PEG4,17.2,CRBN,Lenalidomide,True
Hoechst 33258,PEG6,16.8,VHL,VH032,True
Hoechst 33258,PEG6,16.8,VHL,AHPC,True
Hoechst 33258,PEG8,22.4,VHL,VH032,True
Hoechst 33258,PEG8,22.4,VHL,AHPC,True
Hoechst 33258,C12-alkyl,12.6,VHL,VH032,False
Hoechst 33258,C12-alkyl,12.6,VHL,AHPC,False
Hoechst 33258,C6-PEG4,15.0,VHL,VH032,True
Hoechst 33258,C6-PEG4,15.0,VHL,AHPC,True
Hoechst 33258,C8-PEG4,17.2,VHL,VH032,True
Hoechst 33258,C8-PEG4,17.2,VHL,AHPC,True
PDS (Pyridostatin),PEG6,16.8,CRBN,Pomalidomide,True
PDS (Pyridostatin),PEG6,16.8,CRBN,Lenalidomide,True
PDS (Pyridostatin),PEG8,22.4,CRBN,Pomalidomide,True
PDS (Pyridostatin),PEG8,22.4,CRBN,Lenalidomide,True
PDS (Pyridostatin),C12-alkyl,12.6,CRBN,Pomalidomide,False
PDS (Pyridostatin),C12-alkyl,12.6,CRBN,Lenalidomide,False
PDS (Pyridostatin),C6-PEG4,15.0,CRBN,Pomalidomide,True
PDS (Pyridostatin),C6-PEG4,15.0,CRBN,Lenalidomide,True
PDS (Pyridostatin),C8-PEG4,17.2,CRBN,Pomalidomide,True
PDS (Pyridostatin),C8-PEG4,17.2,CRBN,Lenalidomide,True
PDS (Pyridostatin),PEG6,16.8,VHL,VH032,True
PDS (Pyridostatin),PEG6,16.8,VHL,AHPC,True
PDS (Pyridostatin),PEG8,22.4,VHL,VH032,True
PDS (Pyridostatin),PEG8,22.4,VHL,AHPC,True
PDS (Pyridostatin),C12-alkyl,12.6,VHL,VH032,False
PDS (Pyridostatin),C12-alkyl,12.6,VHL,AHPC,False
PDS (Pyridostatin),C6-PEG4,15.0,VHL,VH032,True
PDS (Pyridostatin),C6-PEG4,15.0,VHL,AHPC,True
PDS (Pyridostatin),C8-PEG4,17.2,VHL,VH032,True
PDS (Pyridostatin),C8-PEG4,17.2,VHL,AHPC,True
