warhead,linker,linker_ha,linker_ang,e3_family,e3_ligand,mw_est,clogp_est,permeability,alerts
Hoechst 33258,PEG3,8,8.4,CRBN,Pomalidomide,856.0,4.94,low,3
Hoechst 33258,PEG4,11,11.2,CRBN,Pomalidomide,886.0,5.31,moderate,4
Hoechst 33258,PEG5,14,14.0,CRBN,Pomalidomide,0,0,unknown,0
Hoechst 33258,PEG6,17,16.8,CRBN,Pomalidomide,0,0,unknown,0
Hoechst 33258,PEG7,20,19.6,CRBN,Pomalidomide,0,0,unknown,0
Hoechst 33258,PEG8,23,22.4,CRBN,Pomalidomide,0,0,unknown,0
Hoechst 33258,C2-PEG4,12,12.0,CRBN,Pomalidomide,0,0,unknown,0
Hoechst 33258,C4-PEG4,15,14.5,CRBN,Pomalidomide,0,0,unknown,0
Hoechst 33258,C6-PEG4,18,17.0,CRBN,Pomalidomide,0,0,unknown,0
Hoechst 33258,C8-PEG4,21,19.5,CRBN,Pomalidomide,0,0,unknown,0
Hoechst 33258,C8-alkyl,8,8.4,CRBN,Pomalidomide,852.0,7.24,moderate,4
Hoechst 33258,C10-alkyl,10,10.5,CRBN,Pomalidomide,0,0,unknown,0
Hoechst 33258,C12-alkyl,12,12.6,CRBN,Pomalidomide,0,0,unknown,0
Hoechst 33258,PEG4-Pip,18,14.0,CRBN,Pomalidomide,0,0,unknown,0
Hoechst 33258,C6-Pip-C3,15,12.0,CRBN,Pomalidomide,0,0,unknown,0
Hoechst 33258,PEG3-Tz,14,11.0,CRBN,Pomalidomide,0,0,unknown,0
PDS (Pyridostatin),PEG3,8,8.4,CRBN,Lenalidomide,713.0,5.4,moderate,3
PDS (Pyridostatin),PEG4,11,11.2,CRBN,Lenalidomide,757.0,5.42,moderate,4
PDS (Pyridostatin),PEG5,14,14.0,CRBN,Lenalidomide,801.0,5.43,moderate,4
PDS (Pyridostatin),PEG6,17,16.8,CRBN,Lenalidomide,845.0,5.45,moderate,4
PDS (Pyridostatin),PEG7,20,19.6,CRBN,Lenalidomide,889.0,5.47,low,4
PDS (Pyridostatin),PEG8,23,22.4,CRBN,Lenalidomide,933.0,5.48,low,4
PDS (Pyridostatin),C2-PEG4,12,12.0,CRBN,Lenalidomide,801.0,5.43,moderate,4
PDS (Pyridostatin),C4-PEG4,15,14.5,CRBN,Lenalidomide,829.0,6.21,moderate,4
PDS (Pyridostatin),C6-PEG4,18,17.0,CRBN,Lenalidomide,857.0,6.99,moderate,4
PDS (Pyridostatin),C8-PEG4,21,19.5,CRBN,Lenalidomide,885.0,7.77,moderate,4
PDS (Pyridostatin),C8-alkyl,8,8.4,CRBN,Lenalidomide,709.0,7.71,moderate,3
PDS (Pyridostatin),C10-alkyl,10,10.5,CRBN,Lenalidomide,737.0,8.49,moderate,4
PDS (Pyridostatin),C12-alkyl,12,12.6,CRBN,Lenalidomide,765.0,9.27,moderate,4
PDS (Pyridostatin),PEG4-Pip,18,14.0,CRBN,Lenalidomide,869.0,5.03,moderate,4
PDS (Pyridostatin),C6-Pip-C3,15,12.0,CRBN,Lenalidomide,807.0,6.93,moderate,4
PDS (Pyridostatin),PEG3-Tz,14,11.0,CRBN,Lenalidomide,780.0,5.32,moderate,3
