e3_gene,e3_family,mode,uniprot,adaptor_genes,structure_facts,resistance
CRBN,CRL4,crl4_adapter,Q96SW2,DDB1|CUL4A|CUL4B|RBX1,CRBN-DDB1 PDB 4CI2; BRD4-CRBN ternary 6BN7 (curated),"CRBN loss/mutation selected under IMiD treatment (multiple-myeloma literature, curated)"
VHL,CRL2,crl2_adapter,P40337,TCEB1|TCEB2|CUL2|RBX1,VHL-ElonginBC PDB 4W9O; BRD4-VHL ternary 5T35 (curated),VHL loss-of-function in clear-cell RCC (curated)
DCAF1,CRL4,crl4_adapter,Q9Y4B6,DDB1|CUL4A|CUL4B|RBX1,,
DCAF11,CRL4,crl4_adapter,Q8TEB1,DDB1|CUL4A|CUL4B|RBX1,,
DCAF15,CRL4,crl4_adapter,Q66K64,DDB1|CUL4A|CUL4B|RBX1,,
DCAF16,CRL4,crl4_adapter,Q9NXF7,DDB1|CUL4A|CUL4B|RBX1,,
FEM1B,CRL2,crl2_adapter,Q9UK73,TCEB1|TCEB2|CUL2|RBX1,,
FBXO22,SCF,scf_fbox,Q8NEZ5,SKP1|CUL1|RBX1,,
KEAP1,CRL3,crl3_adapter,Q14145,CUL3|RBX1,,
KLHDC2,CRL2,crl2_adapter,Q9Y2U9,TCEB1|TCEB2|CUL2|RBX1,,
KLHL20,CRL3,crl3_adapter,Q9Y2M5,CUL3|RBX1,,
MDM2,RING,ring,Q00987,,,
RNF114,RING,ring,Q9Y508,,,
RNF4,RING,ring,P78317,,,
UBR1,RING,ring,Q8IWV8,,,
BIRC2,IAP,iap_ring,Q13490,,,
BIRC3,IAP,iap_ring,Q13489,,,
BIRC4,IAP,iap_ring,P98170,,,
HUWE1,HECT,hect,Q7Z6Z7,,,
NEDD4,HECT,hect,P46934,,,
NEDD4L,HECT,hect,Q96PU5,,,
WWP1,HECT,hect,Q9H0M0,,,
UBE3A,HECT,hect,Q05086,,,
STUB1,U-box,ubox,Q9UNE7,,,
PRKN,RBR,rbr,O60260,,,
RNF8,RING,ring,O76064,,,
RNF168,RING,ring,Q9H6Y3,,,
TRIM21,TRIM,ring,P19474,,,
SIAH1,RING,ring,Q8IUQ4,,,
RNF7,CRL,ring,Q9UBF6,CUL5|ELOB|ELOC,,
